Teknologi,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,69.35,Ya,Redhat certification,Ya,senior software engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis, Sales/Marketing, Technology, Entrepreneurship,""Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Market Study, Team work, Interpersonal Skills, Presentation Skills, Designing Skills, Sales, Design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble"",84.55,Ya,""Six Sigma, digital marketing."",Ya,Sales Executive,Masters in Business Administration,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Embedded design,""Creativity Skills, Excel, Logical Skills, Observation Skills, Risk Managing, Designing Skills, Vlsi design,simulation,embedded,IOT"",81.795,Ya,""JAVA,Embedded and IOT"",Ya,VLSI Digital Design,ME in VLSI design,Sarjana Jurnalisme,Jurnalisme";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research,""Python, Critical Thinking, Analytic Thinking, Java, SQL, Programming, Communication Skills, Negotiation Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++"",75.05,Tidak,Tidak,Ya,Production manager,MRes in Printed Electronics,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Tidak,66.5,Tidak,Tidak,Ya,Software Developer,Tidak,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing,Active Listening;Business Knowledge;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Sales;Interpersonal skills,55.0,Tidak,Tidak,Ya,Life insurance,Masters in marketing and HR,B.Com,Sales and marketing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing,Business Knowledge,85.0,Tidak,Tidak,Tidak,Not Applicable,M.Com,B.Com,Economics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Software Job,Tidak,76.0,Tidak,Tidak,Ya,Developer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Technology;Trading;Data analytics,Business Knowledge;Analytical Skills;Negotiation skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL,76.475,Tidak,Tidak,Ya,Full stack developer ,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trading,Active Listening;Business Knowledge;Risk management skills;Sales;Good communication skills,63.0,Tidak,Tidak,Ya,Not Applicable,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Technology;Web Designing;Web development;Social causes,Accounting Skills;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Problem Solving skills;C++;Python;SQL,87.59,Ya,Cpp with ds,Tidak,Not Applicable,Tidak,Sarjana Administrasi Bisnis,Administrasi Bisnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research,""Active Listening, Creativity Skills, Team work, Logical Skills"",72.0,Tidak,Tidak,Ya,Process analyst,Masters in Pharmacy,Sarjana Farmasi,Farmasi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis,""Accounting Skills, Cost Accounting"",51.3,Ya,Tax and law,Tidak,Housewife,Tidak,Sarjana Perdagangan,Perdagangan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Home interior design,Programming Language skills;People management;Mass Communication;Leadership;Designing skills;Writing skills;Architecture,74.0,Tidak,Tidak,Ya,Junior interior designer ,Tidak,Sarjana Desain,Desain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Take risk for Profits,""Business Knowledge, Product Knowledge, Team work, Sales"",57.0,Tidak,Tidak,Ya,Tele-caller,Masters in Computer Applications,Sarjana Perdagangan,Perdagangan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Entrepreneurship,""Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Mass Communication, Observation Skills, Risk Managing"",65.55,Ya,Digital marketing ,Ya,HR,Masters in Business Administration,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Government jobs,Olahraga,74.1,Ya,Tidak,Tidak,Pc,Msc,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""AI, ML, Python, Java, SQL, Tableau"",76.0,Ya,Udemy,Tidak,Student (Unemployed),Masters in Computer Applications,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research, Take risk for Profits, Understand Human Behaviour,""Critical Thinking, Analytic Thinking, Product Knowledge, Team work, Excel, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills"",76.0,Tidak,Tidak,Ya,Design engineer,Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Information Technology,Blockchain,""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Docker;Kubernetes;Amazon Web Services (AWS);Bash;Apache;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Relic APM;Jenkins;Internet Information Services (IIS);Terraform;AKS;Continuous Integration and Continuous Delivery (CI/CD);"Amazon EC2"",74.67,Ya,Creating Routing Policies to Handle Website Traffic Using AWS Route53";Kubernetes,Ya,DevOps Engineer,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Software Job,""Full stack, java, python, reactjs"",74.1,Ya,""Full stack, java, python, reactjs"",Ya,Software developer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Supply Chain Analysis;Data scientist;Machine Learning;Excel,Active Listening;Analytical Skills;Negotiation skills;Product knowledge;Problem Solving skills;Risk management skills;Machine Learning skills;Python,88.35,Ya,Data science,Ya,Production Engineer,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Software Job,""Web development (PHP, codeigniter), java development, graphic desiging, Android app development"",73.15,Ya,""Web development (PHP, codeigniter), java development, graphic desiging, Android app development"",Ya,Software engineer 1,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trading;Data analytics;Govt. Job;Data scientist,Data Visualization skills( Power Bi/ Tableau );Python;SQL,78.185,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Social Media Marketing,63.0,Ya,Global and digital marketing ,Ya,Sales manager,MBA,Sarjana Perdagangan,Perdagangan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""Accounting Skills, Active Listening, AI, Python, Critical Thinking, Programming, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Observation Skills, Risk Managing, Reading"",68.685,Ya,QA QC in Plasic Products and Materials,Tidak,Student (Unemployed),Tidak,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Industires,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),74.1,Ya,catia,Ya,Mechanical Design Engineer,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Sales/Marketing;Teaching;Technology;Web Designing;Content Writing;Data analytics;Digital marketing;Data scientist;Web development;Market reserach;Social media marketing;Gardening;Service;Design;Information Technology;Machine Learning;Excel,Programming Language skills;Analytical Skills;Communication skills;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Machine Learning skills;Sales;Social Media Marketing;R;Python;Artificial Intelligence;SQL;Architecture;MATLAB;Good communication skills;Teaching;AWS;PHP;Programming Language C;Javascript,87.0,Ya,DDIP,Ya,Junior Software Engineer ,Masters in Digital Electronics ,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data analytics,Critical Thinking;Analytical Skills;Leadership;Problem Solving skills;Machine Learning skills;Python,69.35,Ya,Data science using R and Python ,Tidak,Not Applicable,Statistics ,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"IT field ,""Python, Java, SQL, Programming, Problem Solving skills"",69.0,Tidak,Tidak,Ya,Mapping ,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research, Technology,""Active Listening, AI, ML, Python, Analytic Thinking, Editing, Creativity Skills, Team work, C++, Problem Solving skills, Mass Communication"",89.87,Ya,""C, C++"",Tidak,Student (Unemployed),Tidak,B.Sc,Information TechNAlogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blockchain,Artistic/Creative Skills,60.0,Tidak,Tidak,Ya,Not Applicable,Tidak,Sarjana Perdagangan,Perdagangan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Research;Trading;Understand human behaviour;Understand human body;Data analytics;Data scientist;Gardening,Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Python;SQL,72.0,Tidak,Tidak,Ya,Functional Consultant ,Tidak,BE,Industrial Engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Supply Chain Analysis,Business Knowledge;Negotiation skills;Product knowledge;"Sales,60.8,Ya,""SAP SCM,  supply chain management"",Ya,Associate SCM ,Tidak,Sarjana Teknik Mesin,Teknik Mesin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Designing skills,70.0,Ya,Catia,Ya,Engineer,Tidak,Diploma,High pressure die casting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis,Company Law;Company Secretarial Work;Due Diligence;Corporate Law;industrial and labour law;company law;Corporate Social Responsibility;Public Company Compliance;Statutory Compliances;"Regulatory Compliance,83.03,Ya,Tidak,Ya,Company Secretary,""Company Secretary Professional(";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(The Institute of Company Secretaries of India)"",Sarjana Akuntansi,Akuntansi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Technology;Data analytics;Design,Active Listening;Programming Language skills;Communication skills;Client management;Good communication skills,68.02,Tidak,Tidak,Ya,Programmer Analyst Trainee (PAT),Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teaching;Technology;Web Designing,Active Listening;Programming Language skills;Gathering Information;Mass Communication;Content creation,68.4,Ya,MBA,Ya,Programmer,MBA,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Technology, Understand Human Behaviour, Understand Human Body,""Analytic Thinking, Gathering Informing, SQL, Risk Managing"",76.0,Tidak,Tidak,Ya,Risk analyst ,Masters in Business Analytics,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Data analytics;Data scientist;All fields related to Data science.,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL,66.5,Ya,Data Science,Tidak,Not Applicable,Masters in Computer Science,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
