Teknologi,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,69.35,Ya,Redhat certification,Ya,senior software engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Social Justice, Take risk for Profits, Technology, Understand Human Behaviour,""Critical Thinking, Business Knowledge, Java, People Management, Work under Pressure, Leadership, Product Knowledge, Team work, Risk Managing"",74.765,Ya,Automation testing,Ya,Computer Software Engineer,Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Understand human behaviour;Govt. Job,Accounting Skills;Hardware skills;Product knowledge;Data Visualization skills( Power Bi/ Tableau ),76.0,Tidak,Tidak,Ya,accountant ,Tidak,MBA,finances;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""Python, Java, SQL, Excel"",64.0,Tidak,Tidak,Ya,Data Engineer,Tidak,B.Tech,Information TechNAlogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Digital marketing;Data scientist;Web development;All fields related to Data science.,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Presentation Skills;R;Python;Artificial Intelligence;SQL;Content creation;Java;Cloud Computing;AWS,86.45,Ya,Oracle Certified Associate,Ya,Data Scientist,Masters in Data Analytics,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Technology;Supply Chain Analysis;Information Technology,Active Listening;Critical Thinking;Analytical Skills;Communication skills;Negotiation skills;Designing skills;Java,70.62,Ya,Catia V5,Ya,Material Planner,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data scientist,Python,71.7,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research, Sales/Marketing, Entrepreneurship, Operations,""Critical Thinking, Analytic Thinking, People Management, Work under Pressure, Product Knowledge, Market Study, Team work, Excel, Interpersonal Skills, Problem Solving skills, Sales"",70.11,Ya,Operations and supply chain management,Tidak,Student (Unemployed),Masters in Business Administration,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Tidak,65.55,Tidak,Tidak,Ya,Software Developer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Technology,Entrepreneurship,""Active Listening, Programming, Work under Pressure, Teamwork,Excel,Logical Skills Interpersonal Skills, Presentation skills, Reading"",68.4,Ya,Java Training,Ya,Front End Java Developer,Masters in Business Analytics,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Technology;Web Designing;Content Writing;Data analytics;Digital marketing;Data scientist;Web development;Market reserach;Social media marketing;Blockchain;Salesforce Admin;Construction;Construction Manegement,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Negotiation skills;Leadership;Social Media Marketing;Interpersonal skills;C++;Presentation Skills;Python;SQL,78.185,Tidak,Tidak,Ya,Associate Software Engineer,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing;Technology;Understand human behaviour;Data analytics;Game industry;Data scientist;Web development,Accounting Skills;Programming Language skills;Gathering Information;Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Sales;Social Media Marketing;Python;SQL;Client management,56.0,Ya,Tally,Ya,Field sales officer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis, Entrepreneurship,""Gathering Informing, Business Knowledge"",76.0,Tidak,Tidak,Tidak,Journalist,Tidak,Sarjana Akuntansi,Akuntansi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing,Kepemimpinan,76.0,Ya,Computer Engineer,Ya,Business Analyst,Masters in Computer Applications,Sarjana Administrasi Bisnis,Administrasi Bisnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
News Coverage,Menulis,92.15,Ya,Telaring,Tidak,Teacher,Tidak,Sarjana Perdagangan,Perdagangan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
News Coverage,Menulis,66.5,Tidak,Tidak,Tidak,Teacher,Tidak,Sarjana Perdagangan,Perdagangan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Design,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),77.9,Ya,ANSYS & Finite Element Analysis,Ya, CES-CAE- FEA Analyst,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Data analytics;Data scientist,Analytical Skills;Python;SQL,67.0,Ya,Certificate program in Data science,Tidak,Not Applicable,Structural engineering,Sarjana Teknik Sipil,Teknik Sipil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web Designing;Data analytics;Digital marketing;Data scientist,Programming Language skills;Critical Thinking;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence;SQL;Java;Cloud Computing;Architecture;"AWS,87.4,Ya,""Selenium WebDriver,JAVA"",Ya, Database Administrator,Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Research;Social Justice;Data analytics;Data scientist;Web development;Social media marketing,Critical Thinking;Analytical Skills;People management;Mass Communication;Leadership;Editing;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence;SQL;Cloud Computing;Architecture;"MATLAB,80.75,Ya,""SQL, Data Science "",Tidak,Not Applicable,Tidak,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Software Job,Tidak,76.95,Tidak,Tidak,Ya,associate trainee,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Software Job,Tidak,76.0,Tidak,Tidak,Ya,trainee and associates,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""Work under Pressure, Team work, Excel"",55.0,Tidak,Tidak,Ya,Mechanical Engineer,Masters in Management Studies ,Sarjana Teknik Mesin,Teknik Mesin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis,Business Knowledge,66.5,Tidak,Tidak,Tidak,Business Analyst,Masters in Accounting,Sarjana Akuntansi,Akuntansi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research, Technology,""Active Listening, Leadership, Team work, Interpersonal Skills, Building Rapport"",82.745,Ya,Biozeen training,Ya,Production specialist,Masters in Science,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""Python, Java, SQL, C++"",69.73,Tidak,Tidak,Tidak,Computer Software Engineer,Masters in Computer Science,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Service;Social causes;All fields related to Data science.,Programming Language skills;Communication skills;Leadership;Problem Solving skills,81.7,Ya,NPTEL,Tidak,Not Applicable,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Design,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),77.9,Ya,Product Development,Ya,Mechanical Design Engineer,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Trading;Data analytics,Active Listening;Programming Language skills;Gathering Information;Analytical Skills;R;Python;SQL,76.0,Ya,Data Science Course Certification,Tidak,Not Applicable,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Understand human behaviour;Web Designing;Web development,Programming Language skills;Business Knowledge;People management;Communication skills;Java;"Good communication skills,73.91,Ya,""Wind energy, python"",Ya,Software Developer ,Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;News Coverage;Technology;Supply Chain Analysis,Active Listening;Critical Thinking;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Interpersonal skills;Presentation Skills,80.75,Tidak,Tidak,Ya,Mechanical product developer ,Masters in Global Foresight and technology management ,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Further Studies,Tidak,70.3,Tidak,Tidak,Tidak,Not Applicable,M.Tech ( Master of Technology ),BE,Electrical and Electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web Designing;Data analytics;Govt. Job;Game industry;Data scientist;All fields related to Data science.;Industires,Active Listening;Hardware skills;Critical Thinking;Analytical Skills;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Interpersonal skills;Presentation Skills;Python;Good communication skills,64.41,Ya,CATIA AUTOCAD ANALYSIS SOLID WORKS,Tidak,Not Applicable,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Social Justice;Technology;Industires,Hardware skills;Product knowledge,84.0,Tidak,Tidak,Ya,General masdor,Tidak,Sarjana Teknik Pertambangan,Teknik Pertambangan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mengajar,""Active Listening,Work under Pressure,Team work,Presentation skills,Reading"",76.0,Tidak,Tidak,Ya,Teaching,M.Tech,Sarjana Jurnalisme,Jurnalisme";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Data analytics;Data scientist;Market reserach;Social causes,Active Listening;Critical Thinking;Gathering Information;Analytical Skills;Editing;Problem Solving skills;Risk management skills;Writing skills;C++;R;Java;MATLAB,74.1,Tidak,Tidak,Ya,Analyst,Tidak,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cloud computing,Technology,Data analytics,Machine Learning,Cyber Security,""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cybersecurity;Information Security;Software Development Life Cycle (SDLC);Security Information and Event Management (SIEM);"Security Operations Center"",71.82,Ya,""Certified Information Security Manager® (CISM)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Breach & Attack Simulation;Foundations of Operationalizing MITRE ATT&CK;ICSI (International CyberSecurity Institute); ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Certified Network Security Specialist"",Ya,""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cyber Security Analyst"",Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""Java, Programming"",68.0,Tidak,Tidak,Tidak,Mechanical Engineer,Masters in Business Analytics,B.Tech,Information TechNAlogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis, Technology,""Analytic Thinking, Business Knowledge, People Management, Communication Skills, Leadership, Editing, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Risk Managing, Reporting, Subject Knowledge"",82.46,Ya,Courses on SAP ,Ya,Data Analyst,Masters in Data Analytics,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing,Leadership;Designing skills;Writing skills;C++;Hospitality,60.0,Tidak,Tidak,Tidak,Not Applicable,Python,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sales/Marketing,""Leadership, Product Knowledge, Team work, Excel, Sales, Building Rapport, Subject Knowledge"",73.15,Tidak,Tidak,Ya,Sales Executive,Masters in Business Administration,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web Designing;Game industry;Web development,Programming Language skills;Critical Thinking;Editing;Writing skills,66.0,Tidak,Tidak,Tidak,Not Applicable,Tidak,BCA,Engineerinh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Higher Studies,""Communication Skills, Leadership, Team work, Excel, Interpersonal Skills, Presentation Skills, Subject Knowledge, AutoCAD, CATIA"",80.75,Ya,CAD Courses - CATIA,Tidak,Assistant Professor,Automotive Engineering,BE,C++";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Blockchain,C++,88.0,Tidak,Tidak,Ya,Senior associate,M.tech,B.Tech,Sales & Marketing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Technology;Game industry;Product Life cycle Management,Critical Thinking;Analytical Skills;Product knowledge;Problem Solving skills,73.0,Tidak,Tidak,Ya,Compliance Engineer,Tidak,B.Tech,C programming;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing;Digital marketing;Social media marketing,Active Listening;Critical Thinking;Communication skills;Problem Solving skills;Designing skills;Writing skills;Sales;Social Media Marketing;Presentation Skills,73.67,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Application Development,""Analytic Thinking, Gathering Informing, SQL, Programming, Communication Skills, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Problem Solving skills"",74.0,Ya,Microsoft full stack certification,Ya,Back End Developer,Tidak,Sarjana Jurnalisme,Jurnalisme";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis,""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Modeling;Financial Analysis;Generally Accepted Accounting Principles (GAAP);DCF ValuationDCF Valuation;Equity Valuation;"M&A analysis"",79.99,Ya,JP Morgan Investment Banking Virtual Experience";NISM VA Mutual Fund Distributor ;Basic and Advance Trading Course,Ya,Financial Analyst,Finance,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""Programming, Communication Skills, Linux"",75.0,Tidak,Tidak,Tidak,Java Developer,Tidak,B.Tech,AutoCAD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Design,Active Listening;Artistic/Creative Skills;Analytical Skills;Designing skills,71.25,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Entrepreneurship,""Accounting Skills, Interpersonal Skills, Presentation Skills"",83.0,Ya,Diploma course in Digital Marketing ,Tidak,Student (Unemployed),Masters in Accounting,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Govt. Job;Industires;Design,Active Listening;Communication skills;Editing;Machine Learning skills,63.65,Tidak,Tidak,Ya,Mechanical Engineer ,Tidak,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""AI, ML, Python"",71.25,Ya,Python,Tidak,Student (Unemployed),Masters in Data Science,Sarjana Teknik Mesin,Teknik Mesin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teaching, Technology, Entrepreneurship,""Business Knowledge, Leadership, News Gathering, Team work, Interpersonal Skills, Presentation Skills, Problem Solving skills"",65.0,Tidak,not done any,Tidak,Student (Unemployed),Masters in Business Administration,Sarjana Akuntansi,Akuntansi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research,""Communication Skills, Team work"",58.9,Tidak,Tidak,Tidak,Student (Unemployed),Masters in Data Analytics,Sarjana Teknik Mesin,Teknik Mesin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""AI, ML, Python, SQL"",69.0,Ya,. Net,Tidak,ASP.NET Developer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis, Research, Social Justice, Take risk for Profits, Trading, Understand Human Behaviour,""ML, Python, Critical Thinking, Analytic Thinking, SQL, Programming, Team work, Logical Skills, Presentation Skills, R, Subject Knowledge"",64.6,Ya,Datascience ,Ya,Process executive-Data,Masters in Statistics,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Market reserach;Design,Business Knowledge;Product knowledge;Problem Solving skills;Designing skills;Machine Learning skills,85.5,Ya,Tidak,Tidak,Not Applicable,Tidak,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis,Accounting Skills;Finance related skills;Leadership;Problem Solving skills;"Presentation Skills,56.0,Ya,""NISM VA, VII, VIII"",Ya,Active Trading Service,PGDM in Finance,Sarjana Jurnalisme,Jurnalisme";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data analytics;Govt. Job;Data scientist;Web development,Active Listening;Programming Language skills;Gathering Information;Analytical Skills;Editing;Writing skills;Machine Learning skills;C++;Python;SQL,76.0,Ya,Data science using Python and R,Tidak,Not Applicable,Tidak,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data scientist,Analytical Skills;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);construction management,74.0,Ya,Data scientist course ,Ya,Quality Engineer,Tidak,Sarjana Desain,Desain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Research;Technology;Understand human behaviour;Understand human body;Supply Chain Analysis;Content Writing;Govt. Job;Home interior design;Social causes;Design,Accounting Skills;Artistic/Creative Skills;Business Knowledge;Communication skills;Mass Communication;Editing;Problem Solving skills;Designing skills;Writing skills;C++;Presentation Skills;Python;Content creation;Architecture,80.0,Ya,Data science,Ya,Computerized accounting,Accounting ,B.Com,Finance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis,""Communication Skills, C++, Reading, Subject Knowledge"",75.81,Ya,Autocad,Ya,Loco pilot,Masters in Business Administration,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sales/Marketing, Trading, Entrepreneurship,""Creativity Skills, Sales"",64.0,Tidak,no courses opted,Tidak,Student (Unemployed),Masters in Business Administration,Sarjana Teknik Sipil,Teknik Sipil";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Technology;Data analytics,Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Designing skills;Wealth Management;Python;SQL,70.0,Ya,Data scientists,Tidak,Not Applicable,Tidak,Sarjana Desain,Desain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Technology;Understand human behaviour;Data analytics;Govt. Job;Home interior design;Retailer;Data scientist;Web development;Market reserach;Social media marketing;All fields related to Data science.,Accounting Skills;Active Listening;Hardware skills;Programming Language skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL;HR;"Good communication skills,73.47,Ya,""Data Science, Python"",Tidak,Not Applicable,Tidak,Sarjana Teknik Mesin,Teknik Mesin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Home interior design,Designing skills,60.0,Ya,Java,Tidak,Dietician,Nutrition,Sarjana Administrasi Bisnis,Administrasi Bisnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web development,Information Technology,Blockchain,Digital marketing,Game industry,Linux;IBM AIX;Shell Scripting;Domain Name System (DNS);Secure Shell (SSH);Python;shell scripting;GIT;Jenkins;Puppet;Ansible;Nagios,82.27,Ya,Red Hat Certified Specialist in Ansible Automation;RHCSA;IBM Agile Explorer,Ya,DevOps Engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Govt. Job,Accounting Skills;Active Listening;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;People management;Leadership;Problem Solving skills;Writing skills;HR;Good communication skills,77.9,Ya,PGDMA ,Ya,ASSOCIATE OPERATIONS PROCESSOR-1,MBA (FINANCE & HR),Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"News Coverage, Research, Teaching, Technology,""AI, ML, Python, Java, SQL, Programming, Communication Skills, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, C++, Linux, Problem Solving skills, Writing, Observation Skills, Risk Managing, Reporting"",79.8,Ya,Multiple programming and ML based MOOC courses. ,Ya,ASP.NET Developer,Tidak,B.E,Dietician";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Pemrograman,84.55,Tidak,Tidak,Ya,Front End Developer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
News Coverage;Content Writing;Social media marketing,Analytical Skills;People management;Mass Communication;Problem Solving skills;Writing skills;Social Media Marketing;Content creation,70.0,Ya,CCC,Ya,Sr. Political Analyst ,MAMC,Sarjana Perdagangan,Perdagangan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Data scientist,Programming Language skills;Critical Thinking;Communication skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Presentation Skills;Python;Artificial Intelligence;SQL;Java,66.5,Ya,Tidak,Ya,Associate software engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Machine Learning,Python;SQL,67.0,Ya,Internship in innodatatics,Tidak,Not Applicable,Master of technology,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Software,""ML, Python, SQL, R"",67.0,Ya,Internship in innodatatics,Tidak,Data Scientist,Masters in Computer Science,Sarjana Jurnalisme,Jurnalisme";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""ML, Python, SQL, R, Tableau"",67.0,Ya,Innodatatics,Ya,ML Engineer,Master of technology,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
